,Tweet Date,text,Twitter Handle
0,"10,15,2021 23:54",Finished sex education season 3  didn't like that they finished in a cliff hanger,minarocket_
1,"10,15,2021 23:27",Currently half way through season 3 of Sex education and had absolutely no clue it was so addictive. I would’ve watched it earlier had I known it was such an easy watch,CassieM_MCJ
2,"10,15,2021 23:06",Finally watching Sex Education season 3 😩,Empress_Marsz
3,"10,15,2021 22:15",season 3 of Sex Education has such a good soundtrack,ThisIsLeAnne
4,"10,15,2021 22:14","@JWRD__ - You season 3 , sex education season 3. Film de slag om de Schelde.",kitno
5,"10,15,2021 21:54",on episode 6 season 3 of sex education and i've never wanted to smack anyone more than otis,crookyshanks
6,"10,15,2021 21:35","Watching Sex education season 3 for the second time. This show's got so many things right. Episode 3, especially is a masterpiece. Noticed even more detail than during the first watch. Actual blood on panties, on your face, because there's nothing to be ashamed of. Period!",petitlaurent
7,"10,15,2021 21:15",season 3 of sex education OWNS ME,celestialtoxins
8,"10,15,2021 20:52","""I don't hate you, Otis. It would be so much easier if I did"" 
-Ruby Matthews from Sex Education season 3",farhanwldani_
9,"10,15,2021 20:42",SEX EDUCATION SEASON 3 HELLO oh my god,triggeredbih
10,"10,15,2021 20:39",The sex education season 3 scenes shot in lagos nigeria👏👏. You tend to appreciate Nigerian music more when it's been aired in foreign movies 🔥🔥🔥 but you see that forced fake Nigerian accent❌❌. Lol Africa is different from Nigeria,onaegwame
11,"10,15,2021 20:29",sex education season 3 🤷🏽‍♀️,fendigrandex
12,"10,15,2021 20:29",Ask 101 season 2 is basically what we wanted Sex Education season 3 to be.,5ohanoor
13,"10,15,2021 19:54",For fucks sake @netflix I'm in the middle of season 3 of Sex Education and now I'm going to have to not watch you until you fix this shit? https://t.co/ZtFEUOB2no,skgilroy
14,"10,15,2021 19:46","Okay, since I’m practically bed bound for a while, suggest shows for me. I have Netflix, Hulu, Peacock TV, and Disney Plus; shows I’ve enjoyed are The Handmaid’s Tale, You(season 3 today!!) Pose, The Sinner, Yellowstone, American Horror Story, Sex Education, Bridgerton, Longmire,",daily_gaily
15,"10,15,2021 19:30",@TheAleLady I found it incredibly dull and really overhyped. I think I’m in the minority but gave up after episode 3. On the other I binged watched Season 1 of Sex Education in a couple of days!!,EwanRCD
16,"10,15,2021 18:53",how is season 3 of sex education i havent had the chance to watch yet,wh0rebf
17,"10,15,2021 18:48",I'm just watching season 3 of sex education and so mad at the Nigerian accent... like who tf speaks like that 😭😂...,titipoju
18,"10,15,2021 18:33",aimee gibbs fancam edit sex education season 3 #sexeducation #sexeducationseason3 maeve wiley otis milburn eric effiong jean milburn adam groff jackson marchetti lily iglehart ola nyman ruby matthews steve morley aimee lou wood https://t.co/x5EUZsA92A,haeyeontwo
19,"10,15,2021 18:01","finally starting to watch sex education season 3, pray for me gyns",weisenbutchfeld
20,"10,15,2021 17:59",just binged watched the entirety of sex education season 3 in one sitting lord help me,joonasism
21,"10,15,2021 17:23",i high key might rewatch season 3 of sex education again. it was really good.,dopaliciousdoJo
22,"10,15,2021 17:15",i finished season 3 of sex education last night and omgmfjsnbfsmfnnsnssnndkkfk,bellaharveyy
23,"10,15,2021 16:50","baru ngelarin Sex Education season 3

it's so emotional season, 🥺",teamlunox
24,"10,15,2021 16:46",Season 3 of Sex Education is phenomenal,LeahMcDerment
25,"10,15,2021 16:20",@joyhuilin They better not disappoint like Sex education season 3 😭,meehikabarua
